player_id,source,rank,weight
158,PFF,133,1.2
158,NFL Draft Buzz,147,0.9
159,PFF,155,1.2
159,PFN,116,0.9
159,TANKATHON,138,0.9
160,PFF,151,1.2
160,NFL Draft Buzz,139,0.9
160,PFN,116,0.9
160,TANKATHON,151,0.9
160,Mel Kiper,150,1.1
160,Field Yates,119,1
160,Matt Miller,133,1
160,Daniel Jeremiah,149,1.1
160,Charlie Campbell,136,1
161,PFF,115,1.2
161,NFL Draft Buzz,160,0.9
161,PFN,125,0.9
162,PFF,266,1.2
162,PFN,80,0.9
162,TANKATHON,92,0.9
163,PFF,110,1.2
163,NFL Draft Buzz,166,0.9
164,PFF,166,1.2
165,NFL Draft Buzz,125,0.9
166,PFF,152,1.2
166,PFN,137,0.9
167,NFL Draft Buzz,103,0.9
167,PFN,149,0.9
168,PFF,150,1.2
168,NFL Draft Buzz,141,0.9
169,PFF,178,1.2
169,NFL Draft Buzz,77,0.9
169,PFN,172,0.9
170,PFN,128,0.9
171,PFF,145,1.2
171,NFL Draft Buzz,161,0.9
171,PFN,128,0.9
171,TANKATHON,153,0.9
171,Mel Kiper,153,1.1
171,Field Yates,119,1
171,Matt Miller,148,1
171,Daniel Jeremiah,169,1.1
171,Charlie Campbell,116,1
172,PFF,172,1.2
173,PFF,199,1.2
173,PFN,110,0.9
174,PFF,200,1.2
174,NFL Draft Buzz,131,0.9
174,PFN,111,0.9
174,TANKATHON,128,0.9
175,NFL Draft Buzz,138,0.9
175,PFN,130,0.9
175,TANKATHON,122,0.9
176,PFF,139,1.2
176,NFL Draft Buzz,148,0.9
176,TANKATHON,139,0.9
177,TANKATHON,131,0.9
178,PFF,153,1.2
178,NFL Draft Buzz,117,0.9
178,PFN,162,0.9
179,PFF,173,1.2
179,TANKATHON,133,0.9
180,PFF,146,1.2
180,NFL Draft Buzz,149,0.9
180,PFN,136,0.9
181,PFF,156,1.2
181,NFL Draft Buzz,130,0.9
181,PFN,136,0.9
181,TANKATHON,161,0.9
181,Mel Kiper,131,1.1
181,Field Yates,136,1
181,Matt Miller,173,1
181,Daniel Jeremiah,149,1.1
181,Charlie Campbell,149,1
182,PFF,224,1.2
182,NFL Draft Buzz,136,0.9
182,TANKATHON,91,0.9
183,PFN,133,0.9
184,PFF,310,1.2
184,Charlie Campbell,40,1
185,PFN,135,0.9
186,PFF,185,1.2
186,NFL Draft Buzz,130,0.9
186,TANKATHON,137,0.9
187,PFF,194,1.2
187,NFL Draft Buzz,127,0.9
188,NFL Draft Buzz,217,0.9
188,Charlie Campbell,63,1
189,PFF,196,1.2
189,NFL Draft Buzz,139,0.9
189,PFN,131,0.9
190,NFL Draft Buzz,209,0.9
190,PFN,73,0.9
191,PFN,141,0.9
192,PFF,184,1.2
192,NFL Draft Buzz,144,0.9
193,PFF,182,1.2
193,NFL Draft Buzz,146,0.9
194,PFF,189,1.2
195,PFN,142,0.9
196,PFF,162,1.2
196,NFL Draft Buzz,132,0.9
196,PFN,173,0.9
197,PFN,144,0.9
198,PFF,192,1.2
199,PFF,232,1.2
199,NFL Draft Buzz,142,0.9
199,TANKATHON,118,0.9
200,PFF,349,1.2
200,NFL Draft Buzz,88,0.9
200,PFN,113,0.9
200,TANKATHON,116,0.9
201,PFF,160,1.2
201,NFL Draft Buzz,154,0.9
201,PFN,155,0.9
201,TANKATHON,137,0.9
201,Mel Kiper,195,1.1
201,Field Yates,180,1
201,Matt Miller,154,1
201,Daniel Jeremiah,170,1.1
201,Charlie Campbell,170,1
202,PFF,238,1.2
202,PFN,115,0.9
203,PFF,169,1.2
203,NFL Draft Buzz,156,0.9
203,PFN,158,0.9
204,PFF,288,1.2
204,PFN,79,0.9
205,PFF,197,1.2
206,PFF,171,1.2
206,NFL Draft Buzz,163,0.9
206,PFN,153,0.9
207,PFF,195,1.2
207,NFL Draft Buzz,150,0.9
208,PFF,263,1.2
208,PFN,99,0.9
209,PFF,174,1.2
209,PFN,166,0.9
210,PFF,205,1.2
210,NFL Draft Buzz,143,0.9
211,PFF,198,1.2
212,PFF,175,1.2
212,NFL Draft Buzz,170,0.9
212,PFN,171,0.9
212,TANKATHON,137,0.9
212,Mel Kiper,190,1.1
212,Field Yates,170,1
212,Matt Miller,166,1
212,Daniel Jeremiah,161,1.1
212,Charlie Campbell,153,1
213,PFF,188,1.2
213,PFN,157,0.9
214,PFF,240,1.2
214,PFN,120,0.9
215,PFF,177,1.2
215,NFL Draft Buzz,168,0.9
216,PFF,212,1.2
216,NFL Draft Buzz,145,0.9
217,NFL Draft Buzz,152,0.9
218,PFN,152,0.9
219,PFF,206,1.2
219,NFL Draft Buzz,134,0.9
219,PFN,170,0.9
220,PFF,269,1.2
220,PFN,105,0.9
221,PFF,209,1.2
221,PFN,151,0.9
222,NFL Draft Buzz,154,0.9
223,PFN,154,0.9
224,PFF,300,1.2
224,PFN,84,0.9
225,NFL Draft Buzz,155,0.9
226,PFF,207,1.2
227,PFF,171,1.2
227,NFL Draft Buzz,140,0.9
227,PFN,153,0.9
227,TANKATHON,195,0.9
227,Mel Kiper,171,1.1
227,Field Yates,195,1
227,Matt Miller,180,1
227,Daniel Jeremiah,171,1.1
227,Charlie Campbell,188,1
228,PFF,216,1.2
228,NFL Draft Buzz,151,0.9
229,PFF,204,1.2
229,NFL Draft Buzz,140,0.9
229,PFN,177,0.9
230,PFF,210,1.2
231,NFL Draft Buzz,158,0.9
232,PFF,211,1.2
233,PFF,191,1.2
233,NFL Draft Buzz,218,0.9
233,TANKATHON,114,0.9
234,PFN,160,0.9
235,PFF,250,1.2
235,NFL Draft Buzz,133,0.9
236,PFF,193,1.2
236,NFL Draft Buzz,177,0.9
237,NFL Draft Buzz,161,0.9
238,PFF,214,1.2
238,NFL Draft Buzz,162,0.9
239,PFF,339,1.2
239,TANKATHON,70,0.9
240,PFF,223,1.2
240,NFL Draft Buzz,157,0.9
241,PFN,163,0.9
242,PFF,218,1.2
243,PFF,264,1.2
243,NFL Draft Buzz,129,0.9
244,PFF,202,1.2
244,NFL Draft Buzz,159,0.9
244,PFN,180,0.9
245,PFF,233,1.2
245,NFL Draft Buzz,153,0.9
246,NFL Draft Buzz,164,0.9
247,PFF,219,1.2
248,NFL Draft Buzz,165,0.9
249,PFF,221,1.2
250,PFF,222,1.2
251,PFF,220,1.2
251,NFL Draft Buzz,169,0.9
252,PFN,167,0.9
253,PFF,328,1.2
253,PFN,132,0.9
253,TANKATHON,126,0.9
254,PFN,168,0.9
255,PFF,242,1.2
255,PFN,156,0.9
256,PFF,225,1.2
256,NFL Draft Buzz,170,0.9
257,PFF,226,1.2
258,PFF,249,1.2
258,PFN,155,0.9
259,PFF,229,1.2
260,NFL Draft Buzz,172,0.9
261,PFF,231,1.2
261,NFL Draft Buzz,171,0.9
262,PFF,230,1.2
263,PFF,215,1.2
263,NFL Draft Buzz,185,0.9
264,NFL Draft Buzz,174,0.9
265,PFF,235,1.2
265,NFL Draft Buzz,173,0.9
266,PFN,175,0.9
267,NFL Draft Buzz,175,0.9
268,PFF,273,1.2
268,PFN,146,0.9
269,NFL Draft Buzz,176,0.9
270,PFF,186,1.2
270,NFL Draft Buzz,169,0.9
270,PFN,226,0.9
270,TANKATHON,191,0.9
270,Mel Kiper,160,1.1
270,Field Yates,229,1
270,Matt Miller,207,1
270,Daniel Jeremiah,178,1.1
270,Charlie Campbell,218,1
271,PFF,236,1.2
272,PFN,178,0.9
273,NFL Draft Buzz,178,0.9
274,PFF,233,1.2
274,NFL Draft Buzz,233,0.9
274,PFN,214,0.9
274,TANKATHON,174,0.9
274,Mel Kiper,168,1.1
274,Field Yates,209,1
274,Matt Miller,163,1
274,Daniel Jeremiah,213,1.1
274,Charlie Campbell,183,1
275,NFL Draft Buzz,179,0.9
276,NFL Draft Buzz,180,0.9
277,PFF,193,1.2
277,NFL Draft Buzz,228,0.9
277,PFN,171,0.9
277,TANKATHON,222,0.9
277,Mel Kiper,191,1.1
277,Field Yates,205,1
277,Matt Miller,210,1
277,Daniel Jeremiah,157,1.1
277,Charlie Campbell,222,1
278,PFF,190,1.2
278,NFL Draft Buzz,219,0.9
279,PFF,241,1.2
280,NFL Draft Buzz,181,0.9
281,PFN,183,0.9
282,PFF,361,1.2
282,PFN,96,0.9
283,PFF,245,1.2
284,NFL Draft Buzz,184,0.9
285,PFF,246,1.2
286,NFL Draft Buzz,186,0.9
287,PFF,359,1.2
287,PFN,104,0.9
288,NFL Draft Buzz,187,0.9
289,PFF,255,1.2
289,NFL Draft Buzz,183,0.9
290,NFL Draft Buzz,188,0.9
291,PFF,252,1.2
292,PFF,253,1.2
293,NFL Draft Buzz,190,0.9
294,PFF,256,1.2
295,NFL Draft Buzz,192,0.9
296,PFF,257,1.2
297,NFL Draft Buzz,193,0.9
298,PFF,239,1.2
298,NFL Draft Buzz,208,0.9
299,PFF,327,1.2
299,NFL Draft Buzz,167,0.9
299,PFN,169,0.9
300,NFL Draft Buzz,194,0.9
301,PFF,259,1.2
302,NFL Draft Buzz,211,0.9
302,PFN,179,0.9
303,NFL Draft Buzz,196,0.9
304,PFF,281,1.2
304,PFN,182,0.9
305,NFL Draft Buzz,197,0.9
306,NFL Draft Buzz,198,0.9
307,PFF,265,1.2
308,NFL Draft Buzz,199,0.9
309,NFL Draft Buzz,200,0.9
310,PFF,267,1.2
311,NFL Draft Buzz,201,0.9
312,PFF,268,1.2
313,PFF,285,1.2
313,NFL Draft Buzz,231,0.9
313,PFN,159,0.9
314,NFL Draft Buzz,202,0.9
315,PFF,270,1.2
316,NFL Draft Buzz,203,0.9
317,PFF,303,1.2
317,NFL Draft Buzz,182,0.9
318,NFL Draft Buzz,205,0.9
319,NFL Draft Buzz,206,0.9
320,PFF,264,1.2
320,NFL Draft Buzz,216,0.9
321,PFF,276,1.2
322,NFL Draft Buzz,207,0.9
323,PFF,277,1.2
324,PFF,278,1.2
325,NFL Draft Buzz,212,0.9
326,PFF,283,1.2
327,NFL Draft Buzz,213,0.9
328,PFF,284,1.2
329,NFL Draft Buzz,214,0.9
330,PFF,286,1.2
331,NFL Draft Buzz,215,0.9
332,PFF,287,1.2
333,PFF,289,1.2
334,PFF,291,1.2
335,PFF,282,1.2
335,NFL Draft Buzz,226,0.9
336,PFF,292,1.2
337,PFF,312,1.2
337,NFL Draft Buzz,204,0.9
338,PFF,293,1.2
339,NFL Draft Buzz,220,0.9
340,PFF,294,1.2
341,NFL Draft Buzz,221,0.9
342,PFF,295,1.2
343,PFF,360,1.2
343,PFN,174,0.9
344,NFL Draft Buzz,222,0.9
345,NFL Draft Buzz,223,0.9
346,PFF,375,1.2
346,PFN,165,0.9
347,PFF,260,1.2
347,NFL Draft Buzz,252,0.9
348,NFL Draft Buzz,224,0.9
349,PFF,363,1.2
349,PFN,176,0.9
350,PFF,299,1.2
351,NFL Draft Buzz,225,0.9
352,PFF,301,1.2
353,PFF,302,1.2
354,NFL Draft Buzz,227,0.9
355,PFF,304,1.2
356,NFL Draft Buzz,228,0.9
357,NFL Draft Buzz,229,0.9
