Rank,Player Name,Position,College,Year,Height ,Weight,40 Time,PFF,NFL Draft Buzz,PFN,TANKATHON,Mel Kiper,Field Yates,Matt Miller,Daniel Jeremiah,Charlie Campbell,Average,Remarks
111,Jaishawn Barham,LB,Michigan,Senior,6'3,243,4.55,,96,65,85,,,,,,,
107,Lander Barton,LB,Utah,Senior,6'5,236,4.55,224,136,,91,,,,,,,
85,Jacob Rodriguez,LB,Texas Tech,Senior,6'1,230,4.7,93,80,82,101,,,,,,,
134,Aiden Fisher,LB,Indiana,Senior,6'1,231,,157,,,129,,,,,,,
145,Stanquan Clark,LB,Louisville,,,,,,,, ,,,,,,,
137,Red Murdock,LB,Buffalo,Senior,6'3,240,4.77,,135,90,,,,,,,,
355,Kaleb Elarms-Orr,LB,TCU,Senior,6'2,230,,360,,174,,,,,,,,
524,Alex Afari,LB,,,,,,,,178,,,,,,,,
359,Desmond Parnell,LB,Kansas State,Senior,6'0,232,,400,,181,,,,,,,,
165,Justin Jefferson,LB,Alabama,Senior,6'1,227,,401,,,,,,,,,,
168,Eric Gentry,LB,USC,Senior,6'6,225,4.56,264,216,,,,,,,,,
184,Bryce Boettcher,LB,Oregon,Senior,6'2,232,4.7,264,129,,,,,,,,,
349,Trey Moore,LB,Texas,Senior,6'3,249,,133,147,,,,,,,,,
350,Scooby Williams,LB,Texas A&M,Senior,6'2,230,,275,254,,,,,,,,,
351,Xavian Sorely Jr,LB,Arkansas,Senior,6'3,225,,282,226,,,,,,,,,
352,Wesley Bissainthe,LB,Miami (FL),Senior,6'1,,,301,,,,,,,,,,
353,Mohamed Toure,LB,Miami (FL),Graduated,6'2,,,338,,,,,,,,,,
354,Wade Woodaz,LB,Clemson,Senior,6'4,235,,350,,,,,,,,,,
356,Keyshaun Elliot,LB,Arizona State,Senior,6'2,235,,383,,,,,,,,,,
357,Jack Kelly,LB,BYU,Senior,6'2,242,,391,,,,,,,,,,
358,Jordan Pollard,LB,San Jose State,Senior,6'1,202,,395,,,,,,,,,,
360,Triston Newsom,LB,Missouri,Graduated,6'2,230,,406,,,,,,,,,,
361,Namdi Obiazor,LB,TCU,Senior,6'3,230,,412,,,,,,,,,,
425,Rayleon Wilson,LB,,,,,,,152,,,,,,,,,
428,Khalil Alexander,LB,,,,,,,178,,,,,,,,,
444,Michael Harris,LB,,,,,,,214,,,,,,,,,
449,Troy Bowles,LB,,,,,,,222,,,,,,,,,
451,Reid Carrico,LB,,,,,,,224,,,,,,,,,
452,Tony Rojas,LB,,,,,,,225,,,,,,,,,
459,Jason Henderson,LB,,,,,,,238,,,,,,,,,
467,Jaiden Ausberry,LB,,,,,,,251,,,,,,,,,
472,Prince Kollie,LB,,,,,,,261,,,,,,,,,
474,Demon Clowney,LB,,,,,,,265,,,,,,,,,
477,Stephen Dix Jr.,LB,,,,,,,271,,,,,,,,,
478,Shawn Murphy,LB,,,,,,,274,,,,,,,,,
480,Shad Banks Jr.,LB,,,,,,,280,,,,,,,,,
481,Keanu Koht,LB,,,,,,,281,,,,,,,,,
482,Raesjon Davis,LB,,,,,,,283,,,,,,,,,
486,Sam M'Pemba,LB,,,,,,,288,,,,,,,,,
487,Stephen Thompson,LB,,,,,,,290,,,,,,,,,
488,Paul Aguirre Jr. ,LB,,,,,,,292,,,,,,,,,
493,Ethan Calvert,LB,,,,,,,299,,,,,,,,,
466,Mitchell Melton,LB/ED,,,,,,,250,,,,,,,,,
36,Trinidad Chambliss,QB,Mississippi,Senior,6'1,200,4.45,67,99,129,50,,,,,,,
54,Cade Klubnik,QB,Clemson,Senior,6'2,210,4.65,120,72,148,121,,,,,,,
192,Miller Moss,QB,Louisville,Senior,6'2,210,4.85,216,151,, ,,,,,,,
222,Athan Kaliakmanis,QB,Rutgers,Senior,6'3,212,,240,,120,,,,,,,,
513,Jack Strand,QB,,,,,,,,128,,,,,,,,
218,Cole Payton,QB,North Dakota State,Senior,6'3,233,,209,,151,,,,,,,,
199,Jalon Daniels ,QB,Kansas,Senior,6'0,220,4.58,169,156,158,,,,,,,,
520,Kyle Walljasper,QB,,,,,,,,160,,,,,,,,
127,Taylen Green,QB,Arkansas,Senior,6'6,224,4.44,206,134,170,,,,,,,,
164,Diego Pavia,QB,Vanderbilt,Senior,6'0,207,4.59,178,77,172,,,,,,,,
155,Sawyer Robertson,QB,Baylor,Senior,6'4,220,4.85,204,140,177,,,,,,,,
201,Luke Altmyer,QB,Illinois ,Senior,6'2,205,4.75,202,159,180,,,,,,,,
200,Noah Fifta,QB,Arizona,Junior,5'10,186,4.75,,158,,,,,,,,,
